Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color
Greipfrutų sultys,13,0.5,9.2,0.1,40,Stiklinė,31,240,Vaisiai,Geltona
Obuolių sultys,4,0.1,10.0,0.1,42,Stiklinė,10,240,Vaisiai,Geltona
Morkų sultys,14,0.4,11.3,0.1,43,Stiklinė,34,240,Vaisiai,Geltona
Vynuogių sultys,24,0.6,15.0,0,65,Stiklinė,58,240,Vaisiai,Geltona
Graikiniai riešutai,809,16.0,18.0,60.3,645,5 vnt.,81,10,Riešutai Sėklos,Raudona
Lazdynų riešutai,485,14.4,14.9,63.0,640,10 vnt.,49,10,Riešutai Sėklos,Raudona
Migdolai,955,20.0,20.5,52.0,572,10 vnt.,96,10,Riešutai Sėklos,Raudona
Mėlynosios aguonos,800,20.1,24.9,42.9,478,1 a.š.,40,5,Riešutai Sėklos,Raudona
Pistacijos,1038,20.5,25.0,48.5,589,5 vnt.,104,10,Riešutai Sėklos,Raudona
Kokosai,158,3.4,15.2,33.5,355,1 a.š.,8,5,Riešutai Sėklos,Raudona
Balt. pupelių sėklos,1232,21.4,61.6,1.6,288,1 v.š.,123,10,Riešutai Sėklos,Raudona
Sausi žirniai - sėklos,1172,23.8,60.2,1.4,293,1 v. š.,117,10,Riešutai Sėklos,Raudona
Saulėgrąžos,1140,24.2,24.6,43.7,561,1 a.š.,57,5,Riešutai Sėklos,Raudona
Sezamai,1192,23.2,10.0,59.9,633,1 a.š.,60,5,Riešutai Sėklos,Raudona
Avižiniai dribsniai,895,13.8,67.5,6.7,365,1 v.š. (sausų),72,8,Grūdiniai,Raudona
Grikių miltai,194,5.1,78.3,0.8,346,1 v.š.,49,25,Grūdiniai,Geltona
Kukurūzų miltai,380,8.3,66.3,2.8,324,1 v.š.,95,25,Grūdiniai,Raudona
Manų kruopos,616,10.3,74.8,1.0,360,1 v. Š. (sausų),62,10,Grūdiniai,Raudona
Makaronai (be kiaušinių),668,10.8,75.8,0.3,359,1 v. š. (sausų),100,15,Grūdiniai,Raudona
Nepoliruoti ryžiai,360,7.1,76.8,1.9,337,1 v. š. (sausų),54,15,Grūdiniai,Geltona
Rugiai,674,9.5,72.6,1.7,307,1 v. š. (sausų),67,10,Grūdiniai,Raudona
Sago kruopos,30,0.6,84.9,0.2,344,1 v.š.,6,20,Grūdiniai,Geltona
Karvės pienas 3.2 % rieb.,147,3.3,4.8,3.2,61,1/2 stiklinės,177,120,Pienas ir jo produktai,Raudona
Ožkos pienas,321,6.5,4.8,5.8,98,1/2 stiklinės,385,120,Pienas ir jo produktai,Raudona
Kefyras 2.5 % rieb.,156,3.4,4.1,1.5,50,1⁄2 stiklinės,187,120,Pienas ir jo produktai,Raudona
Grietinė 30 % rieb.,153,2.4,3.1,30.0,293,1 v. š.,38,73,Pienas ir jo produktai,Geltona
Grietinėlė 10% rieb.,143,3.1,4.0,10.0,117,1/2 stiklinės,172,120,Pienas ir jo produktai,Raudona
Grietinėlė 20% rieb.,129,2.8,3.6,20.0,203,1/2 stiklinės,155,120,Pienas ir jo produktai,Raudona
Grietinėlė 35% rieb.,120,2.6,3.3,28.0,271,1⁄2 stiklinės,144,120,Pienas ir jo produktai,Geltona
Fetos suris,799,17.0,0,18.8,263,-,64,8,Pienas ir jo produktai,Raudona
Kamambero sūris,607,13.2,0,40.0,299,-,30,5,Pienas ir jo produktai,Raudona
Mocarela suris,927,18,2,20,280,-,278,30,Pienas ir jo produktai,Raudona
Rikotos sūris,437,9.5,0.3,15.0,174,-,35,8,Pienas ir jo produktai,Raudona
Liesas jogurtas,202,4.3,4.2,0.1,63,-,253,125,Pienas ir jo produktai,Raudona
